October 2021 Contiguous U.S. County Precipitation
Units: Inches
Missing: -99
Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,5.03,2.46,115,2.57
AL-003,Baldwin County,Alabama,5.28,1.93,104,3.35
AL-005,Barbour County,Alabama,4.82,2.3,111,2.52
AL-007,Bibb County,Alabama,4.73,1.93,108,2.8
AL-009,Blount County,Alabama,5.16,2.13,106,3.03
AL-011,Bullock County,Alabama,4.95,2.34,112,2.61
AL-013,Butler County,Alabama,8.36,5.82,125,2.54
AL-015,Calhoun County,Alabama,2.66,-0.15,71,2.81
AL-017,Chambers County,Alabama,6.74,4.12,124,2.62
AL-019,Cherokee County,Alabama,3.71,0.69,92,3.02
AL-021,Chilton County,Alabama,5.49,2.82,119,2.67
AL-023,Choctaw County,Alabama,2.56,-0.15,74,2.71
AL-025,Clarke County,Alabama,2.6,-0.06,73,2.66
AL-027,Clay County,Alabama,3.48,0.62,88,2.86
AL-029,Cleburne County,Alabama,3,0.13,78,2.87
AL-031,Coffee County,Alabama,4.72,2.08,107,2.64
AL-033,Colbert County,Alabama,5.35,2.32,108,3.03
AL-035,Conecuh County,Alabama,7.14,4.44,124,2.7
AL-037,Coosa County,Alabama,3.54,0.83,92,2.71
AL-039,Covington County,Alabama,6.59,3.77,119,2.82
AL-041,Crenshaw County,Alabama,6.27,3.73,121,2.54
AL-043,Cullman County,Alabama,4.48,1.32,99,3.16
AL-045,Dale County,Alabama,4.54,1.96,108,2.58
AL-047,Dallas County,Alabama,3.13,0.51,82,2.62
AL-049,DeKalb County,Alabama,4.68,1.5,99,3.18
AL-051,Elmore County,Alabama,4.34,1.8,110,2.54
AL-053,Escambia County,Alabama,5.37,2.41,105,2.96
AL-055,Etowah County,Alabama,4.17,1.2,97,2.97
AL-057,Fayette County,Alabama,3.64,0.6,87,3.04
AL-059,Franklin County,Alabama,5.15,2.13,104,3.02
AL-061,Geneva County,Alabama,5.2,2.45,107,2.75
AL-063,Greene County,Alabama,2.58,-0.15,79,2.73
AL-065,Hale County,Alabama,2.02,-0.75,64,2.77
AL-067,Henry County,Alabama,4.52,2.09,112,2.43
AL-069,Houston County,Alabama,4.55,1.99,106,2.56
AL-071,Jackson County,Alabama,5.74,2.46,110,3.28
AL-073,Jefferson County,Alabama,7.11,4.11,120,3
AL-075,Lamar County,Alabama,3.59,0.68,85,2.91
AL-077,Lauderdale County,Alabama,5.51,2.36,107,3.15
AL-079,Lawrence County,Alabama,4.76,1.66,101,3.1
AL-081,Lee County,Alabama,7.39,4.81,126,2.58
AL-083,Limestone County,Alabama,4.3,1.16,95,3.14
AL-085,Lowndes County,Alabama,5.86,3.34,122,2.52
AL-087,Macon County,Alabama,5.5,2.98,121,2.52
AL-089,Madison County,Alabama,4.55,1.43,101,3.12
AL-091,Marengo County,Alabama,2.04,-0.59,64,2.63
AL-093,Marion County,Alabama,4.94,1.98,102,2.96
AL-095,Marshall County,Alabama,5.09,2.04,105,3.05
AL-097,Mobile County,Alabama,4.54,1.37,94,3.17
AL-099,Monroe County,Alabama,5.49,2.86,113,2.63
AL-101,Montgomery County,Alabama,5.04,2.57,115,2.47
AL-103,Morgan County,Alabama,4.13,1.06,93,3.07
AL-105,Perry County,Alabama,2.75,0.12,79,2.63
AL-107,Pickens County,Alabama,3.28,0.4,86,2.88
AL-109,Pike County,Alabama,4.16,1.57,105,2.59
AL-111,Randolph County,Alabama,4.57,1.75,109,2.82
AL-113,Russell County,Alabama,7.23,4.82,126,2.41
AL-115,St. Clair County,Alabama,5.11,2.14,110,2.97
AL-117,Shelby County,Alabama,6.99,4.08,122,2.91
AL-119,Sumter County,Alabama,2.38,-0.32,69,2.7
AL-121,Talladega County,Alabama,3.39,0.63,90,2.76
AL-123,Tallapoosa County,Alabama,4.1,1.41,105,2.69
AL-125,Tuscaloosa County,Alabama,3.01,0.05,76,2.96
AL-127,Walker County,Alabama,4.38,1.25,98,3.13
AL-129,Washington County,Alabama,2.75,-0.06,72,2.81
AL-131,Wilcox County,Alabama,4.26,1.65,102,2.61
AL-133,Winston County,Alabama,5.03,1.86,101,3.17
AZ-001,Apache County,Arizona,1.18,0.03,83,1.15
AZ-003,Cochise County,Arizona,0.41,-0.53,52,0.94
AZ-005,Coconino County,Arizona,1.22,0.23,90,0.99
AZ-007,Gila County,Arizona,0.97,-0.5,62,1.47
AZ-009,Graham County,Arizona,0.51,-0.6,52,1.11
AZ-011,Greenlee County,Arizona,0.63,-0.74,50,1.37
AZ-012,La Paz County,Arizona,0.19,-0.19,71,0.38
AZ-013,Maricopa County,Arizona,0.4,-0.21,67,0.61
AZ-015,Mohave County,Arizona,0.9,0.18,91,0.72
AZ-017,Navajo County,Arizona,1.16,0.1,84,1.06
AZ-019,Pima County,Arizona,0.12,-0.64,27,0.76
AZ-021,Pinal County,Arizona,0.26,-0.52,44,0.78
AZ-023,Santa Cruz County,Arizona,0.1,-0.9,25,1
AZ-025,Yavapai County,Arizona,0.84,-0.2,69,1.04
AZ-027,Yuma County,Arizona,0.1,-0.26,68,0.36
AR-001,Arkansas County,Arkansas,3.09,-0.18,68,3.27
AR-003,Ashley County,Arkansas,2.26,-0.92,54,3.18
AR-005,Baxter County,Arkansas,4.6,1.38,102,3.22
AR-007,Benton County,Arkansas,8.22,4.6,122,3.62
AR-009,Boone County,Arkansas,5.28,1.99,110,3.29
AR-011,Bradley County,Arkansas,3.61,0.33,77,3.28
AR-013,Calhoun County,Arkansas,4.55,1.22,93,3.33
AR-015,Carroll County,Arkansas,5.55,2.14,109,3.41
AR-017,Chicot County,Arkansas,2.12,-0.94,53,3.06
AR-019,Clark County,Arkansas,3.27,-0.37,65,3.64
AR-021,Clay County,Arkansas,6.42,3.23,117,3.19
AR-023,Cleburne County,Arkansas,3.2,-0.39,67,3.59
AR-025,Cleveland County,Arkansas,3.9,0.51,80,3.39
AR-027,Columbia County,Arkansas,3.42,0.13,76,3.29
AR-029,Conway County,Arkansas,3.91,0.33,81,3.58
AR-031,Craighead County,Arkansas,3.43,0.15,84,3.29
AR-033,Crawford County,Arkansas,7.06,3.11,116,3.95
AR-035,Crittenden County,Arkansas,4.48,1.3,99,3.18
AR-037,Cross County,Arkansas,3.73,0.4,81,3.33
AR-039,Dallas County,Arkansas,3.97,0.5,83,3.47
AR-041,Desha County,Arkansas,3.17,0.14,75,3.03
AR-043,Drew County,Arkansas,2.99,-0.24,64,3.23
AR-045,Faulkner County,Arkansas,4.64,1.1,94,3.54
AR-047,Franklin County,Arkansas,6.34,2.41,108,3.93
AR-049,Fulton County,Arkansas,6.29,3.06,115,3.23
AR-051,Garland County,Arkansas,3.35,-0.43,63,3.78
AR-053,Grant County,Arkansas,3.16,-0.34,64,3.5
AR-055,Greene County,Arkansas,3.83,0.61,91,3.22
AR-057,Hempstead County,Arkansas,2.71,-0.83,53,3.54
AR-059,Hot Spring County,Arkansas,3.03,-0.65,59,3.68
AR-061,Howard County,Arkansas,2.54,-1.33,43,3.87
AR-063,Independence County,Arkansas,3.54,0.17,75,3.37
AR-065,Izard County,Arkansas,4.21,0.96,91,3.25
AR-067,Jackson County,Arkansas,3.95,0.63,87,3.32
AR-069,Jefferson County,Arkansas,3.54,0.13,72,3.41
AR-071,Johnson County,Arkansas,5.56,1.63,96,3.93
